datetime,id,open,high,low,close,volume,open_oi,close_oi,symbol,duration
1.7458032e+18,350.0,760.0,767.5,758.0,764.0,14557.0,34053.0,25172.0,DCE.i2505,60000
1.7458632e+18,351.0,764.0,767.0,762.0,764.0,11652.0,25172.0,16775.0,DCE.i2505,60000
1.7459232e+18,352.0,766.0,766.0,760.5,762.0,6128.0,16775.0,12389.0,DCE.i2505,60000
1.7459832e+18,353.0,762.0,764.0,755.0,758.5,6182.0,12389.0,7129.0,DCE.i2505,60000
1.7464632e+18,354.0,761.5,770.0,761.0,761.0,2185.0,7129.0,5018.0,DCE.i2505,60000
1.7465232e+18,355.0,766.0,777.0,761.5,770.0,1127.0,5018.0,3997.0,DCE.i2505,60000
1.7465832e+18,356.0,770.0,783.0,761.0,769.0,978.0,3997.0,3469.0,DCE.i2505,60000
1.7466432e+18,357.0,769.0,772.5,755.0,756.0,751.0,3469.0,2879.0,DCE.i2505,60000
1.7467032e+18,358.0,760.0,760.0,754.0,760.0,111.0,2879.0,2770.0,DCE.i2505,60000
1.7467632e+18,359.0,760.0,761.0,760.0,761.0,61.0,2770.0,2337.0,DCE.i2505,60000
